"filename", "language", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\migrations\20221013012415-create-ticket.js", "JavaScript", 44, 0, 0, 1, 0, 45
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\migrations\20221013012448-create-pto-balance.js", "JavaScript", 36, 0, 0, 1, 0, 37
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\migrations\20221013012515-create-pto-type.js", "JavaScript", 28, 0, 0, 1, 0, 29
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\migrations\20221013012808-create-employee-type.js", "JavaScript", 40, 0, 0, 1, 0, 41
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\Account.js", "JavaScript", 42, 0, 0, 7, 1, 50
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\Employee.js", "JavaScript", 26, 0, 0, 28, 1, 55
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\Employee_Type.js", "JavaScript", 24, 0, 0, 6, 0, 30
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\PTO_Balance.js", "JavaScript", 24, 0, 0, 6, 0, 30
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\PTO_Type.js", "JavaScript", 21, 0, 0, 6, 0, 27
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\Ticket.js", "JavaScript", 27, 0, 0, 36, 2, 65
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\Ticket_Date_Range.js", "JavaScript", 29, 0, 0, 18, 0, 47
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\models\index.js", "JavaScript", 28, 0, 0, 7, 6, 41
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\other\main.js", "JavaScript", 22, 0, 0, 0, 0, 22
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\package-lock.json", "JSON", 0, 5702, 0, 0, 1, 5703
"c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\server\package.json", "JSON", 0, 30, 0, 0, 1, 31
